Time,Acc X,Acc Y,Acc Z,Ang Acc X,Ang Acc Y,Ang Acc Z,Disp X,Disp Y,Disp Z,Rot X,Rot Y,Rot z,Vel X,Vel Y,Vel Z,Ang Vel X,Ang Vel Y,Ang Vel Z
10.9317,0.00456474,0,0,0.0856331,0,0,0.110151,0,0,-0.0347058,0,0,0.0284408,0,0,-0.00587294,0,0
11.0317,0.00458955,0.00E+00,0.00E+00,0.0860219,0,0,0.113018,0.00E+00,0,-0.0348634,0,0,0.0288985,0.00E+00,0,0.0027275,0,0
11.1317,4.61E-03,0,0,0.0842926,0,0,0.115931,0,0,-0.0341625,0,0,0.0293587,0,0,0.0112608,0,0
11.2317,4.64E-03,0,0,0.0804878,0,0,0.11889,0,0,-0.0326205,0,0,0.0298213,0,0,0.0195168,0,0
11.3317,4.66E-03,0,0,0.074701,0,0,0.121895,0,0,-0.0302752,0,0,0.0302863,0,0,0.0272922,0,0
11.4317,4.69E-03,0,0,0.0670749,0,0,0.124947,0,0,-0.0271844,0,0,0.0307538,0,0,0.0343956,0,0
11.5317,4.71E-03,0,0,0.0577972,0,0,0.128046,0,0,-0.0234243,0,0,0.0312235,0,0,0.0406521,0,0
11.6317,4.73E-03,0,0,0.0470963,0,0,0.131192,0,0,-0.0190874,0,0,0.0316956,0,0,0.0459076,0,0
11.7317,4.76E-03,0,0,0.0352358,0,0,0.134385,0,0,-0.0142805,0,0,0.03217,0,0,0.0500327,0,0
11.8317,4.78E-03,0,0,0.0225076,0,0,0.137626,0,0,-0.00912198,0,0,0.0326467,0,0,0.0529258,0,0
11.9317,4.80E-03,0,0,0.00922519,0,0,0.140915,0,0,-0.00373883,0,0,0.0331256,0,0,0.0545157,0,0
12.0317,4.82E-03,0,0,-0.00428435,0,0,0.144251,0,0,0.00173638,0,0,0.0336067,0,0,0.0547633,0,0
12.1317,4.84E-03,0,0,-0.0176884,0,0,0.147636,0,0,0.00716884,0,0,0.0340901,0,0,0.0536624,0,0
12.2317,4.87E-03,0,0,-0.0306569,0,0,0.151069,0,0,0.0124248,0,0,0.0345756,0,0,0.0512401,0,0
12.3317,4.89E-03,0,0,-0.0428705,0,0,0.154551,0,0,0.0173748,0,0,0.0350632,0,0,0.0475562,0,0
12.4317,4.91E-03,0,0,-0.0540285,0,0,0.158082,0,0,0.0218969,0,0,0.0355529,0,0,0.0427012,0,0
12.5317,4.93E-03,0,0,-0.0638562,0,0,0.161662,0,0,0.0258799,0,0,0.0360447,0,0,0.0367948,0,0
12.6317,4.95E-03,0,0,-0.0721115,0,0,0.165291,0,0,0.0292257,0,0,0.0365386,0,0,0.0299824,0,0
12.7317,4.97E-03,0,0,-0.0785911,0,0,0.16897,0,0,0.0318518,0,0,0.0370345,0,0,0.0224318,0,0
12.8317,4.99E-03,0,0,-0.0831356,0,0,0.172698,0,0,0.0336936,0,0,0.0375323,0,0,0.0143288,0,0
12.9317,5.01E-03,0,0,-0.0856331,0,0,0.176476,0,0,0.0347058,0,0,0.0380322,0,0,0.00587294,0,0
13.0317,5.03E-03,0,0,-0.0860219,0,0,0.180305,0,0,0.0348634,0,0,0.038534,0,0,-0.0027275,0,0
13.1317,5.05E-03,0,0,-0.0842926,0,0,0.184183,0,0,0.0341625,0,0,0.0390377,0,0,-0.0112608,0,0
